content,uid,uname,addtime,likes
谢苗的电影真的很用心，比那些娘炮电影好太多了，剧情比较紧凑，演员都很拼，这才是用心做电影。,1573117341,深巷的鱼鱼,2023-12-18 17:00:37,604
这是继成龙李连杰之后我首次碰到演戏这么拼的一群演员，真的很棒，也很不容易。我以为国产动作片就此落寞了，直到看到这个片重燃我对国产动作片的希望，加油[应援][应援][应援],2364818769,也许就是你,2023-12-31 23:12:51,271
怪不知道外号叫9哥，因为要花9块钱,1630302456,鱼与海Zzz,2023-07-08 13:21:42,1011
谢苗的电影，我看到了正义两个字，这是其他武打演员没有的东西,4228815408703552,用户@f0615d041a840,2024-03-21 21:16:10,0
这部戏尤其是打戏部分真不错，有当年武打片的感觉了，大家都好拼啊，让人惊喜的是女警察也不是花架子，敬佩,1559078534910784,Againℳ,2024-01-13 22:13:19,39
挺好的动作电影，比起那些娘炮来不知道强多少倍，剧情简单了点，加油！,1179485772841835,jinn85,2024-01-25 11:49:20,20
一直在追你的电影，加油，打的很真实[大拇指],1622858093,甄子丹，青岛分丹,2023-07-08 11:16:12,612
打戏是真精彩[大拇指]，有看下去的冲动。作为内地电影，真的是很不错，希望导演再出佳作。演员演技也是很出色，希望继续演出更多好的作品给观众们！,3203209430686784,程威👍,2024-03-21 12:53:56,0
两部连着一起看太爽了太带劲了，国产动作功夫片没有没落，谢苗和岳松是少有的拳拳到肉的动作片演员，硬、刚、真男人，这两颗武打新星要崛起了[大拇指]未来可期！,3297731594541696,Mr.CXL,2024-02-12 14:07:37,7
还和小时候拍的少林五祖里的谢苗没区别，那么拼，那么专业用心的拍电影，祝越来越好,2395042235,℡の獨億りcium,2024-02-04 21:07:38,6
