content,uid,uname,addtime,likes
最后周克是被坏人打的枪，而警察击毙了坏人。报道两人死亡，也是为了保护周克，给他一个新身份，他毕竟是通缉犯。,1006017177,HK子兵,2024-01-27 05:12:37,43
司法解释：暴徒再怎么样都不能代表正义。因为我们有正义之機构，只有他们才能代表正义。否则你再有道理要么故意伤害，要么互殴。,1000131254,寻欢爱仙子_1437,2024-01-23 17:45:33,13
"我实在没敢相信,到最后才发现原来最后的大反派确实很变态，反转得很过瘾",990883926,惯性雨伞一枚,2024-01-18 17:38:06,76
很喜欢开放式结局的电影 不是所有he都是好电影 也不是be就能称为艺术,2210470131,D R E W,2024-03-18 04:43:59,1
强大的主角，没有掉链子的流畅打戏。甚至还有狼人杀做反转，好看。,1447464285,绝健I,2024-02-15 15:52:23,9
"最后主角中的那一枪让我把满分改成了9分，我们早就不是小朋友了，会自己分辨对与错！这个世界上哪有什么绝对的正义与邪恶？
我们的普世价值观公认的对，才是对的！
这分明就是一个让人看得很爽的电影！
非要搞一个悲情结局就让人恼火了。",1823126516,風卟断敘寫悲傷,2024-01-27 05:56:50,3
整部电影还不错，只是个人觉得最后那一枪是不是有点牵强了,959886909258962,悬疑终结者,2024-01-18 21:28:46,45
这必须要评论一下，这电影是我看成龙大哥电影外，第一部没有快进的电影，[大拇指]期待2,1219810200,A。。。。。。吾,2024-03-20 22:54:22,0
"第一次看真的应该去电影院 可惜被那些票房电影坑惨了 这部电影可谓难得佳作
",1418679432,爱琪琪大爷,2024-02-16 12:02:26,6
有点惊喜，电影无论从画面，质感，还有故事的节奏都很棒，动作场面也非常精彩！,1360978737,爱潜水de北堂经艺,2024-01-27 20:29:20,0
