Name,Role
庄文强,导演
梁朝伟,饰 程一言
刘德华,饰 刘启源
刘德华,饰 刘启源
蔡卓妍,饰 张嘉文
任达华,饰 曾剑桥
任达华,饰 曾剑桥
方中信,饰 Kelvin
周家怡,饰 孙慧
任达华,饰 曾剑桥
方中信,饰 Kelvin
周家怡,饰 孙慧
