Name,Role
秦鹏飞,导演
杨秉佳,导演
谢苗,饰 李红旗
张皓森,饰 张金锁
江易轩,饰 小优
张立,饰 马强
邢瀚卿,饰 镇三江
房岩,饰 亮子
刘峰超,饰 十八
周显欣,饰 齐大伟
唐娜,饰 相亲女孩
唐北平,饰 店长
刘超·,饰 拐子
