Name,Role
霍穗强,导演
任达华,饰 华叔
安志杰,饰 阿杰
元华,饰 曹老头
姜珮瑶,饰 阿珍
雷牧,饰 强sir
任怡瑄,饰 小叶
王寒阳,饰 鸡哥
王蕴凡,饰 警司
魏璐,饰 零玖
徐少强,饰 洪爷
李子雄,饰 金先生
