Name,Role
郎强（导演）,导演
谭凯,饰 常勇
谭耀文,饰 罗嘉豪
肖涵,饰 晓兰
刘登宇,饰 阿彪
李思博,饰 刘金龙
曹明华,饰 杜老大
刘芮侨,饰 阿芬
